# nibble extraction run Tue Aug  4 20:56:36 UTC 2026
hi0 4768ms
hi1 4794ms
hi2 5069ms
hi3 10909ms
hi4 7815ms
hi5 7801ms
hi6 7812ms
hi7 8876ms
hi8 7775ms
hi9 7909ms
hi10 8916ms
hi11 8938ms
hi12 7876ms
hi13 7770ms
hi14 8781ms
hi15 4733ms
lo0 4735ms
lo1 6720ms
lo2 7750ms
lo3 10777ms
lo4 13749ms
lo5 14980ms
lo6 15064ms
lo7 10955ms
lo8 11798ms
lo9 9789ms
lo10 3817ms
lo11 11797ms
lo12 9857ms
lo13 15073ms
lo14 1902ms
lo15 6844ms
verify 3872ms
