# extraction run Tue Aug  4 21:10:12 UTC 2026
hi0 4816ms
hi1 5203ms
hi2 4836ms
hi3 8797ms
hi4 7839ms
hi5 7793ms
hi6 7998ms
hi7 8936ms
hi8 7840ms
hi9 7855ms
hi10 8877ms
hi11 8861ms
hi12 7856ms
hi13 7853ms
hi14 8910ms
hi15 4826ms
lo0 4834ms
lo1 6894ms
lo2 7770ms
lo3 10838ms
lo4 13815ms
lo5 14796ms
lo6 15076ms
lo7 10947ms
lo8 11815ms
lo9 9798ms
lo10 3816ms
lo11 11880ms
lo12 10171ms
lo13 15078ms
lo14 1997ms
lo15 6876ms
cal_sleep0 1896ms
cal_sleep0_2 1899ms
verify 3885ms
